text,label,clean_text
I love this product,positive,love product
This is amazing,positive,amazing
I hate this service,negative,hate service
Very bad experience,negative,bad experience
Absolutely fantastic,positive,absolutely fantastic
Not worth the money,negative,worth money
Really happy with the quality,positive,really happy quality
Terrible customer support,negative,terrible customer support
Superb performance,positive,superb performance
Worst purchase ever,negative,worst purchase ever
